key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_2.keys,key_resp_2.rt,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stim,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_5.keys,key_resp_5.rt,key_resp.keys,key_resp.rt,slider_2.response,slider_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,key_resp_6.keys,key_resp_6.rt
1,2.8284,space,31.3893,1,22.3975,1.953125,7.5244,0,0,0,0,1,stim/pof_g.wav,600dd1ea271cf06201979123,001,2022-03-14_23h37.49.095,task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,
,,,,4,4.307,2.630208333,3.5689,0,1,1,4,1,stim/fof_g.wav,600dd1ea271cf06201979123,001,2022-03-14_23h37.49.095,task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,
,,,,3,8.0054,1.802083333,1.8051,0,2,2,1,1,stim/pief_g.wav,600dd1ea271cf06201979123,001,2022-03-14_23h37.49.095,task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,
,,,,1,4.5211,1.296875,2.3675,0,3,3,3,1,stim/p_schwa_g.wav,600dd1ea271cf06201979123,001,2022-03-14_23h37.49.095,task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,
,,,,2,4.4864,1.270833333,2.1081,0,4,4,2,1,stim/peuf_g.wav,600dd1ea271cf06201979123,001,2022-03-14_23h37.49.095,task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,
,,,,2,2.1719,3.973958333,2.1093,0,5,5,5,1,stim/fief_g.wav,600dd1ea271cf06201979123,001,2022-03-14_23h37.49.095,task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,
,,,,4,4.1804,3.057291667,1.7035,0,6,6,7,1,stim/f_schwa_g.wav,600dd1ea271cf06201979123,001,2022-03-14_23h37.49.095,task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,
,,,,2,2.8905,2.770833333,1.977,0,7,7,6,1,stim/feuf_g.wav,600dd1ea271cf06201979123,001,2022-03-14_23h37.49.095,task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,
,,,,2,2.3209,3.942708333,1.906,1,0,8,4,1,stim/fof_g.wav,600dd1ea271cf06201979123,001,2022-03-14_23h37.49.095,task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,
,,,,4,5.4034,2.572916667,2.042,1,1,9,2,1,stim/peuf_g.wav,600dd1ea271cf06201979123,001,2022-03-14_23h37.49.095,task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,
,,,,4,4.19,2.5625,1.459,1,2,10,6,1,stim/feuf_g.wav,600dd1ea271cf06201979123,001,2022-03-14_23h37.49.095,task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,
,,,,2,3.0526,2.041666667,1.6042,1,3,11,0,1,stim/pof_g.wav,600dd1ea271cf06201979123,001,2022-03-14_23h37.49.095,task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,
,,,,3,4.7531,1.322916667,2.1275,1,4,12,1,1,stim/pief_g.wav,600dd1ea271cf06201979123,001,2022-03-14_23h37.49.095,task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,
,,,,2,4.6201,1.036458333,1.8892,1,5,13,3,1,stim/p_schwa_g.wav,600dd1ea271cf06201979123,001,2022-03-14_23h37.49.095,task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,
,,,,2,2.0046,1.234375,1.3906,1,6,14,7,1,stim/f_schwa_g.wav,600dd1ea271cf06201979123,001,2022-03-14_23h37.49.095,task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,
,,,,3,4.2561,1.802083333,1.4969,1,7,15,5,1,stim/fief_g.wav,600dd1ea271cf06201979123,001,2022-03-14_23h37.49.095,task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,
,,,,2,3.0134,1.541666667,1.3563,2,0,16,0,1,stim/pof_g.wav,600dd1ea271cf06201979123,001,2022-03-14_23h37.49.095,task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,
,,,,4,3.4111,1.854166667,1.5539,2,1,17,2,1,stim/peuf_g.wav,600dd1ea271cf06201979123,001,2022-03-14_23h37.49.095,task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,
,,,,2,2.2039,1.875,1.4851,2,2,18,7,1,stim/f_schwa_g.wav,600dd1ea271cf06201979123,001,2022-03-14_23h37.49.095,task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,
,,,,2,3.0801,1.875,1.5551,2,3,19,3,1,stim/p_schwa_g.wav,600dd1ea271cf06201979123,001,2022-03-14_23h37.49.095,task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,
,,,,2,1.8877,3.776041667,1.8054,2,4,20,4,1,stim/fof_g.wav,600dd1ea271cf06201979123,001,2022-03-14_23h37.49.095,task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,
,,,,3,3.8348,1.338541667,2.8057,2,5,21,1,1,stim/pief_g.wav,600dd1ea271cf06201979123,001,2022-03-14_23h37.49.095,task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,
,,,,2,19.8081,1.536458333,1.7887,2,6,22,6,1,stim/feuf_g.wav,600dd1ea271cf06201979123,001,2022-03-14_23h37.49.095,task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,
,,,,7,4.6412,2.546875,1.6289,2,7,23,5,1,stim/fief_g.wav,600dd1ea271cf06201979123,001,2022-03-14_23h37.49.095,task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,
,,,,7,2.4283,2.828125,1.2651,3,0,24,5,1,stim/fief_g.wav,600dd1ea271cf06201979123,001,2022-03-14_23h37.49.095,task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,
,,,,2,4.503,1.3125,1.7589,3,1,25,3,1,stim/p_schwa_g.wav,600dd1ea271cf06201979123,001,2022-03-14_23h37.49.095,task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,
,,,,4,2.2045,3.916666667,2.4492,3,2,26,4,1,stim/fof_g.wav,600dd1ea271cf06201979123,001,2022-03-14_23h37.49.095,task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,
,,,,3,4.1541,1.463541667,2.0605,3,3,27,1,1,stim/pief_g.wav,600dd1ea271cf06201979123,001,2022-03-14_23h37.49.095,task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,
,,,,4,1.9382,3.541666667,1.6275,3,4,28,6,1,stim/feuf_g.wav,600dd1ea271cf06201979123,001,2022-03-14_23h37.49.095,task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,
,,,,4,3.4272,3.59375,1.9879,3,5,29,2,1,stim/peuf_g.wav,600dd1ea271cf06201979123,001,2022-03-14_23h37.49.095,task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,
,,,,2,3.4948,2.572916667,1.3545,3,6,30,0,1,stim/pof_g.wav,600dd1ea271cf06201979123,001,2022-03-14_23h37.49.095,task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,
,,,,2,6.1088,2.369791667,1.5032,3,7,31,7,1,stim/f_schwa_g.wav,600dd1ea271cf06201979123,001,2022-03-14_23h37.49.095,task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,
,,,,7,4.5052,1.583333333,1.193,4,0,32,1,1,stim/pief_g.wav,600dd1ea271cf06201979123,001,2022-03-14_23h37.49.095,task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,
,,,,6,5.8101,1.375,2.1069,4,1,33,0,1,stim/pof_g.wav,600dd1ea271cf06201979123,001,2022-03-14_23h37.49.095,task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,
,,,,2,4.4192,1.130208333,1.2598,4,2,34,3,1,stim/p_schwa_g.wav,600dd1ea271cf06201979123,001,2022-03-14_23h37.49.095,task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,
,,,,4,2.1329,3.609375,1.6463,4,3,35,4,1,stim/fof_g.wav,600dd1ea271cf06201979123,001,2022-03-14_23h37.49.095,task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,
,,,,1,2.3447,1.140625,2.1267,4,4,36,5,1,stim/fief_g.wav,600dd1ea271cf06201979123,001,2022-03-14_23h37.49.095,task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,
,,,,6,3.6585,1.546875,1.3046,4,5,37,6,1,stim/feuf_g.wav,600dd1ea271cf06201979123,001,2022-03-14_23h37.49.095,task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,
,,,,2,2.9891,1.453125,1.619,4,6,38,7,1,stim/f_schwa_g.wav,600dd1ea271cf06201979123,001,2022-03-14_23h37.49.095,task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,
,,,,6,5.4691,1.15625,1.2874,4,7,39,2,1,stim/peuf_g.wav,600dd1ea271cf06201979123,001,2022-03-14_23h37.49.095,task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,
,,,,,,,,,,,,,stim/fif_f.wav,600dd1ea271cf06201979123,001,2022-03-14_23h37.49.095,task,2021.2.3,Win32,60.24096386,space,5.1032,7,3.8832,2.588541667,1.9036,0,0,0,5,1,,
,,,,,,,,,,,,,stim/fof_f.wav,600dd1ea271cf06201979123,001,2022-03-14_23h37.49.095,task,2021.2.3,Win32,60.24096386,,,1,3.2795,3.619791667,1.3984,0,1,1,4,1,,
,,,,,,,,,,,,,stim/pof_f.wav,600dd1ea271cf06201979123,001,2022-03-14_23h37.49.095,task,2021.2.3,Win32,60.24096386,,,1,2.7513,3.635416667,1.9877,0,2,2,0,1,,
,,,,,,,,,,,,,stim/f_schwa_f.wav,600dd1ea271cf06201979123,001,2022-03-14_23h37.49.095,task,2021.2.3,Win32,60.24096386,,,3,7.5935,1.229166667,1.6873,0,3,3,7,1,,
,,,,,,,,,,,,,stim/peuf_f.wav,600dd1ea271cf06201979123,001,2022-03-14_23h37.49.095,task,2021.2.3,Win32,60.24096386,,,3,5.8573,1.229166667,1.4376,0,4,4,2,1,,
,,,,,,,,,,,,,stim/pif_f.wav,600dd1ea271cf06201979123,001,2022-03-14_23h37.49.095,task,2021.2.3,Win32,60.24096386,,,7,5.2934,2.296875,2.2203,0,5,5,1,1,,
,,,,,,,,,,,,,stim/feuf_f.wav,600dd1ea271cf06201979123,001,2022-03-14_23h37.49.095,task,2021.2.3,Win32,60.24096386,,,4,2.5217,2.817708333,1.2875,0,6,6,6,1,,
,,,,,,,,,,,,,stim/p_schwa_f.wav,600dd1ea271cf06201979123,001,2022-03-14_23h37.49.095,task,2021.2.3,Win32,60.24096386,,,1,5.022,1.088541667,1.9379,0,7,7,3,1,,
,,,,,,,,,,,,,stim/fof_f.wav,600dd1ea271cf06201979123,001,2022-03-14_23h37.49.095,task,2021.2.3,Win32,60.24096386,,,2,2.9692,2.046875,1.7542,1,0,8,4,1,,
,,,,,,,,,,,,,stim/pof_f.wav,600dd1ea271cf06201979123,001,2022-03-14_23h37.49.095,task,2021.2.3,Win32,60.24096386,,,2,3.3211,1.84375,1.3705,1,1,9,0,1,,
,,,,,,,,,,,,,stim/f_schwa_f.wav,600dd1ea271cf06201979123,001,2022-03-14_23h37.49.095,task,2021.2.3,Win32,60.24096386,,,2,2.6784,2.213541667,1.5571,1,2,10,7,1,,
,,,,,,,,,,,,,stim/feuf_f.wav,600dd1ea271cf06201979123,001,2022-03-14_23h37.49.095,task,2021.2.3,Win32,60.24096386,,,4,3.6161,2.630208333,1.3818,1,3,11,6,1,,
,,,,,,,,,,,,,stim/fif_f.wav,600dd1ea271cf06201979123,001,2022-03-14_23h37.49.095,task,2021.2.3,Win32,60.24096386,,,3,3.1841,3.270833333,1.7224,1,4,12,5,1,,
,,,,,,,,,,,,,stim/peuf_f.wav,600dd1ea271cf06201979123,001,2022-03-14_23h37.49.095,task,2021.2.3,Win32,60.24096386,,,2,5.2522,2.015625,1.6368,1,5,13,2,1,,
,,,,,,,,,,,,,stim/p_schwa_f.wav,600dd1ea271cf06201979123,001,2022-03-14_23h37.49.095,task,2021.2.3,Win32,60.24096386,,,1,3.9969,1.036458333,3.4042,1,6,14,3,1,,
,,,,,,,,,,,,,stim/pif_f.wav,600dd1ea271cf06201979123,001,2022-03-14_23h37.49.095,task,2021.2.3,Win32,60.24096386,,,3,3.7703,1.489583333,1.4716,1,7,15,1,1,,
,,,,,,,,,,,,,stim/pif_f.wav,600dd1ea271cf06201979123,001,2022-03-14_23h37.49.095,task,2021.2.3,Win32,60.24096386,,,3,3.1137,1.270833333,1.6625,2,0,16,1,1,,
,,,,,,,,,,,,,stim/p_schwa_f.wav,600dd1ea271cf06201979123,001,2022-03-14_23h37.49.095,task,2021.2.3,Win32,60.24096386,,,1,4.6547,1.026041667,1.4384,2,1,17,3,1,,
,,,,,,,,,,,,,stim/fif_f.wav,600dd1ea271cf06201979123,001,2022-03-14_23h37.49.095,task,2021.2.3,Win32,60.24096386,,,3,2.4543,2.994791667,1.5848,2,2,18,5,1,,
,,,,,,,,,,,,,stim/feuf_f.wav,600dd1ea271cf06201979123,001,2022-03-14_23h37.49.095,task,2021.2.3,Win32,60.24096386,,,4,2.5681,3.302083333,3.5375,2,3,19,6,1,,
,,,,,,,,,,,,,stim/pof_f.wav,600dd1ea271cf06201979123,001,2022-03-14_23h37.49.095,task,2021.2.3,Win32,60.24096386,,,2,4.0271,1.541666667,2.0593,2,4,20,0,1,,
,,,,,,,,,,,,,stim/fof_f.wav,600dd1ea271cf06201979123,001,2022-03-14_23h37.49.095,task,2021.2.3,Win32,60.24096386,,,4,2.3027,1.541666667,1.8815,2,5,21,4,1,,
,,,,,,,,,,,,,stim/f_schwa_f.wav,600dd1ea271cf06201979123,001,2022-03-14_23h37.49.095,task,2021.2.3,Win32,60.24096386,,,2,2.2886,1.25,1.3204,2,6,22,7,1,,
,,,,,,,,,,,,,stim/peuf_f.wav,600dd1ea271cf06201979123,001,2022-03-14_23h37.49.095,task,2021.2.3,Win32,60.24096386,,,4,3.4127,1.614583333,1.1547,2,7,23,2,1,,
,,,,,,,,,,,,,stim/fif_f.wav,600dd1ea271cf06201979123,001,2022-03-14_23h37.49.095,task,2021.2.3,Win32,60.24096386,,,3,4.8711,3.776041667,2.1866,3,0,24,5,1,,
,,,,,,,,,,,,,stim/pof_f.wav,600dd1ea271cf06201979123,001,2022-03-14_23h37.49.095,task,2021.2.3,Win32,60.24096386,,,2,4.866,1.182291667,1.7048,3,1,25,0,1,,
,,,,,,,,,,,,,stim/f_schwa_f.wav,600dd1ea271cf06201979123,001,2022-03-14_23h37.49.095,task,2021.2.3,Win32,60.24096386,,,1,2.8628,1.286458333,1.5353,3,2,26,7,1,,
,,,,,,,,,,,,,stim/fof_f.wav,600dd1ea271cf06201979123,001,2022-03-14_23h37.49.095,task,2021.2.3,Win32,60.24096386,,,1,1.7951,1.442708333,1.9213,3,3,27,4,1,,
,,,,,,,,,,,,,stim/p_schwa_f.wav,600dd1ea271cf06201979123,001,2022-03-14_23h37.49.095,task,2021.2.3,Win32,60.24096386,,,1,5.2046,1.020833333,1.8199,3,4,28,3,1,,
,,,,,,,,,,,,,stim/peuf_f.wav,600dd1ea271cf06201979123,001,2022-03-14_23h37.49.095,task,2021.2.3,Win32,60.24096386,,,4,3.2245,2.708333333,2.3545,3,5,29,2,1,,
,,,,,,,,,,,,,stim/pif_f.wav,600dd1ea271cf06201979123,001,2022-03-14_23h37.49.095,task,2021.2.3,Win32,60.24096386,,,3,4.0552,1.697916667,1.9882,3,6,30,1,1,,
,,,,,,,,,,,,,stim/feuf_f.wav,600dd1ea271cf06201979123,001,2022-03-14_23h37.49.095,task,2021.2.3,Win32,60.24096386,,,4,3.1231,3.020833333,1.7867,3,7,31,6,1,,
,,,,,,,,,,,,,stim/peuf_f.wav,600dd1ea271cf06201979123,001,2022-03-14_23h37.49.095,task,2021.2.3,Win32,60.24096386,,,4,2.6932,3,1.6028,4,0,32,2,1,,
,,,,,,,,,,,,,stim/pif_f.wav,600dd1ea271cf06201979123,001,2022-03-14_23h37.49.095,task,2021.2.3,Win32,60.24096386,,,3,4.8395,2.645833333,1.4381,4,1,33,1,1,,
,,,,,,,,,,,,,stim/p_schwa_f.wav,600dd1ea271cf06201979123,001,2022-03-14_23h37.49.095,task,2021.2.3,Win32,60.24096386,,,4,7.7268,1.145833333,2.1712,4,2,34,3,1,,
,,,,,,,,,,,,,stim/feuf_f.wav,600dd1ea271cf06201979123,001,2022-03-14_23h37.49.095,task,2021.2.3,Win32,60.24096386,,,4,3.7096,2.796875,1.9357,4,3,35,6,1,,
,,,,,,,,,,,,,stim/pof_f.wav,600dd1ea271cf06201979123,001,2022-03-14_23h37.49.095,task,2021.2.3,Win32,60.24096386,,,2,4.1042,1.755208333,1.3094,4,4,36,0,1,,
,,,,,,,,,,,,,stim/fof_f.wav,600dd1ea271cf06201979123,001,2022-03-14_23h37.49.095,task,2021.2.3,Win32,60.24096386,,,3,2.6238,1.755208333,1.5411,4,5,37,4,1,,
,,,,,,,,,,,,,stim/f_schwa_f.wav,600dd1ea271cf06201979123,001,2022-03-14_23h37.49.095,task,2021.2.3,Win32,60.24096386,,,2,3.4408,1.119791667,1.6384,4,6,38,7,1,,
,,,,,,,,,,,,,stim/fif_f.wav,600dd1ea271cf06201979123,001,2022-03-14_23h37.49.095,task,2021.2.3,Win32,60.24096386,,,3,3.2541,3.458333333,1.5249,4,7,39,5,1,,
,,,,,,,,,,,,,,600dd1ea271cf06201979123,001,2022-03-14_23h37.49.095,task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,space,18.6503
