key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stim,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_trial.keys,key_resp_trial.corr,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,stim1,stim2,distance,isCorrect,key_resp_trial.rt
space,47.7279,3,24.4955,3.992592593,10.0089,0,0,0,2,1,stim/fif_g.wav,5dc86f46292aaa5da9d04d55,001,2022-03-09_15h12.05.501,vct_new,2021.2.3,Win32,59.85873339,,,,,,,,,,,,
,,1,9.9832,3.97037037,2.3128,0,1,1,4,1,stim/p_schwa_g.wav,5dc86f46292aaa5da9d04d55,001,2022-03-09_15h12.05.501,vct_new,2021.2.3,Win32,59.85873339,,,,,,,,,,,,
,,2,7.2245,4.066666667,1.8763,0,2,2,3,1,stim/fof_g.wav,5dc86f46292aaa5da9d04d55,001,2022-03-09_15h12.05.501,vct_new,2021.2.3,Win32,59.85873339,,,,,,,,,,,,
,,1,4.4096,4.966666667,1.8628,0,3,3,7,1,stim/pof_g.wav,5dc86f46292aaa5da9d04d55,001,2022-03-09_15h12.05.501,vct_new,2021.2.3,Win32,59.85873339,,,,,,,,,,,,
,,6,10.8,3.888888889,1.5292,0,4,4,0,1,stim/f_schwa_g.wav,5dc86f46292aaa5da9d04d55,001,2022-03-09_15h12.05.501,vct_new,2021.2.3,Win32,59.85873339,,,,,,,,,,,,
,,3,4.4609,4.966666667,1.359,0,5,5,6,1,stim/piep_g.wav,5dc86f46292aaa5da9d04d55,001,2022-03-09_15h12.05.501,vct_new,2021.2.3,Win32,59.85873339,,,,,,,,,,,,
,,2,9.1816,4.007407407,1.158,0,6,6,5,1,stim/paf_g.wav,5dc86f46292aaa5da9d04d55,001,2022-03-09_15h12.05.501,vct_new,2021.2.3,Win32,59.85873339,,,,,,,,,,,,
,,2,5.3655,3.077777778,2.3266,0,7,7,1,1,stim/faf_g.wav,5dc86f46292aaa5da9d04d55,001,2022-03-09_15h12.05.501,vct_new,2021.2.3,Win32,59.85873339,,,,,,,,,,,,
,,2,5.2059,3.196296296,1.3385,1,0,8,1,1,stim/faf_g.wav,5dc86f46292aaa5da9d04d55,001,2022-03-09_15h12.05.501,vct_new,2021.2.3,Win32,59.85873339,,,,,,,,,,,,
,,6,7.592,3.796296296,1.154,1,1,9,0,1,stim/f_schwa_g.wav,5dc86f46292aaa5da9d04d55,001,2022-03-09_15h12.05.501,vct_new,2021.2.3,Win32,59.85873339,,,,,,,,,,,,
,,2,5.2996,4.018518519,1.6663,1,2,10,7,1,stim/pof_g.wav,5dc86f46292aaa5da9d04d55,001,2022-03-09_15h12.05.501,vct_new,2021.2.3,Win32,59.85873339,,,,,,,,,,,,
,,2,3.244,4.174074074,1.0338,1,3,11,3,1,stim/fof_g.wav,5dc86f46292aaa5da9d04d55,001,2022-03-09_15h12.05.501,vct_new,2021.2.3,Win32,59.85873339,,,,,,,,,,,,
,,3,2.3546,3.474074074,1.7226,1,4,12,6,1,stim/piep_g.wav,5dc86f46292aaa5da9d04d55,001,2022-03-09_15h12.05.501,vct_new,2021.2.3,Win32,59.85873339,,,,,,,,,,,,
,,6,22.2559,2.807407407,0.6272,1,5,13,4,1,stim/p_schwa_g.wav,5dc86f46292aaa5da9d04d55,001,2022-03-09_15h12.05.501,vct_new,2021.2.3,Win32,59.85873339,,,,,,,,,,,,
,,2,3.2795,3.774074074,1.0228,1,6,14,5,1,stim/paf_g.wav,5dc86f46292aaa5da9d04d55,001,2022-03-09_15h12.05.501,vct_new,2021.2.3,Win32,59.85873339,,,,,,,,,,,,
,,7,2.7868,4.57037037,0.9943,1,7,15,2,1,stim/fif_g.wav,5dc86f46292aaa5da9d04d55,001,2022-03-09_15h12.05.501,vct_new,2021.2.3,Win32,59.85873339,,,,,,,,,,,,
,,2,2.604,4.225925926,0.7301,2,0,16,7,1,stim/pof_g.wav,5dc86f46292aaa5da9d04d55,001,2022-03-09_15h12.05.501,vct_new,2021.2.3,Win32,59.85873339,,,,,,,,,,,,
,,2,2.1213,4.325925926,0.6374,2,1,17,1,1,stim/faf_g.wav,5dc86f46292aaa5da9d04d55,001,2022-03-09_15h12.05.501,vct_new,2021.2.3,Win32,59.85873339,,,,,,,,,,,,
,,3,3.7526,4.411111111,0.9651,2,2,18,2,1,stim/fif_g.wav,5dc86f46292aaa5da9d04d55,001,2022-03-09_15h12.05.501,vct_new,2021.2.3,Win32,59.85873339,,,,,,,,,,,,
,,2,3.6774,3.655555556,0.8298,2,3,19,3,1,stim/fof_g.wav,5dc86f46292aaa5da9d04d55,001,2022-03-09_15h12.05.501,vct_new,2021.2.3,Win32,59.85873339,,,,,,,,,,,,
,,7,3.2589,4.681481481,1.5454,2,4,20,6,1,stim/piep_g.wav,5dc86f46292aaa5da9d04d55,001,2022-03-09_15h12.05.501,vct_new,2021.2.3,Win32,59.85873339,,,,,,,,,,,,
,,4,13.8315,2.881481481,1.4468,2,5,21,0,1,stim/f_schwa_g.wav,5dc86f46292aaa5da9d04d55,001,2022-03-09_15h12.05.501,vct_new,2021.2.3,Win32,59.85873339,,,,,,,,,,,,
,,1,5.8229,2.977777778,0.9329,2,6,22,4,1,stim/p_schwa_g.wav,5dc86f46292aaa5da9d04d55,001,2022-03-09_15h12.05.501,vct_new,2021.2.3,Win32,59.85873339,,,,,,,,,,,,
,,3,2.1859,1.718518519,2.8178,2,7,23,5,1,stim/paf_g.wav,5dc86f46292aaa5da9d04d55,001,2022-03-09_15h12.05.501,vct_new,2021.2.3,Win32,59.85873339,,,,,,,,,,,,
,,,,,,,,,,,,5dc86f46292aaa5da9d04d55,001,2022-03-09_15h12.05.501,vct_new,2021.2.3,Win32,59.85873339,,0,0,0,0,18,1,stim/Step_3.wav,stim/Step_5.wav,-2,1,
,,,,,,,,,,,,5dc86f46292aaa5da9d04d55,001,2022-03-09_15h12.05.501,vct_new,2021.2.3,Win32,59.85873339,,0,0,1,1,9,1,stim/Step_2.wav,stim/Step_3.wav,-1,1,
,,,,,,,,,,,,5dc86f46292aaa5da9d04d55,001,2022-03-09_15h12.05.501,vct_new,2021.2.3,Win32,59.85873339,1,1,0,2,2,23,1,stim/Step_4.wav,stim/Step_3.wav,1,1,0.9437
,,,,,,,,,,,,5dc86f46292aaa5da9d04d55,001,2022-03-09_15h12.05.501,vct_new,2021.2.3,Win32,59.85873339,1,1,0,3,3,41,1,stim/Step_6.wav,stim/Step_7.wav,-1,1,0.7106
,,,,,,,,,,,,5dc86f46292aaa5da9d04d55,001,2022-03-09_15h12.05.501,vct_new,2021.2.3,Win32,59.85873339,1,0,0,4,4,0,1,stim/Step_1.wav,stim/Step_1.wav,0,0,0.9287
,,,,,,,,,,,,5dc86f46292aaa5da9d04d55,001,2022-03-09_15h12.05.501,vct_new,2021.2.3,Win32,59.85873339,1,0,0,5,5,8,1,stim/Step_2.wav,stim/Step_2.wav,0,0,0.8491
,,,,,,,,,,,,5dc86f46292aaa5da9d04d55,001,2022-03-09_15h12.05.501,vct_new,2021.2.3,Win32,59.85873339,0,0,0,6,6,20,1,stim/Step_3.wav,stim/Step_7.wav,-4,1,1.2045
,,,,,,,,,,,,5dc86f46292aaa5da9d04d55,001,2022-03-09_15h12.05.501,vct_new,2021.2.3,Win32,59.85873339,1,1,0,7,7,33,1,stim/Step_5.wav,stim/Step_6.wav,-1,1,0.9933
,,,,,,,,,,,,5dc86f46292aaa5da9d04d55,001,2022-03-09_15h12.05.501,vct_new,2021.2.3,Win32,59.85873339,1,1,0,8,8,39,1,stim/Step_6.wav,stim/Step_5.wav,1,1,0.6944
,,,,,,,,,,,,5dc86f46292aaa5da9d04d55,001,2022-03-09_15h12.05.501,vct_new,2021.2.3,Win32,59.85873339,1,1,0,9,9,27,1,stim/Step_4.wav,stim/Step_7.wav,-3,1,0.6548
,,,,,,,,,,,,5dc86f46292aaa5da9d04d55,001,2022-03-09_15h12.05.501,vct_new,2021.2.3,Win32,59.85873339,0,0,0,10,10,13,1,stim/Step_2.wav,stim/Step_7.wav,-5,1,1.0286
,,,,,,,,,,,,5dc86f46292aaa5da9d04d55,001,2022-03-09_15h12.05.501,vct_new,2021.2.3,Win32,59.85873339,0,0,0,11,11,37,1,stim/Step_6.wav,stim/Step_3.wav,3,1,1.3361
,,,,,,,,,,,,5dc86f46292aaa5da9d04d55,001,2022-03-09_15h12.05.501,vct_new,2021.2.3,Win32,59.85873339,0,1,0,12,12,24,1,stim/Step_4.wav,stim/Step_4.wav,0,0,1.2069
,,,,,,,,,,,,5dc86f46292aaa5da9d04d55,001,2022-03-09_15h12.05.501,vct_new,2021.2.3,Win32,59.85873339,0,0,0,13,13,11,1,stim/Step_2.wav,stim/Step_5.wav,-3,1,0.8522
,,,,,,,,,,,,5dc86f46292aaa5da9d04d55,001,2022-03-09_15h12.05.501,vct_new,2021.2.3,Win32,59.85873339,1,1,0,14,14,46,1,stim/Step_7.wav,stim/Step_5.wav,2,1,1.1277
,,,,,,,,,,,,5dc86f46292aaa5da9d04d55,001,2022-03-09_15h12.05.501,vct_new,2021.2.3,Win32,59.85873339,0,0,0,15,15,45,1,stim/Step_7.wav,stim/Step_4.wav,3,1,0.9366
,,,,,,,,,,,,5dc86f46292aaa5da9d04d55,001,2022-03-09_15h12.05.501,vct_new,2021.2.3,Win32,59.85873339,0,0,0,16,16,10,1,stim/Step_2.wav,stim/Step_4.wav,-2,1,1.4016
,,,,,,,,,,,,5dc86f46292aaa5da9d04d55,001,2022-03-09_15h12.05.501,vct_new,2021.2.3,Win32,59.85873339,0,0,0,17,17,7,1,stim/Step_2.wav,stim/Step_1.wav,1,1,0.9846
,,,,,,,,,,,,5dc86f46292aaa5da9d04d55,001,2022-03-09_15h12.05.501,vct_new,2021.2.3,Win32,59.85873339,1,1,0,18,18,43,1,stim/Step_7.wav,stim/Step_2.wav,5,1,0.8569
,,,,,,,,,,,,5dc86f46292aaa5da9d04d55,001,2022-03-09_15h12.05.501,vct_new,2021.2.3,Win32,59.85873339,0,0,0,19,19,25,1,stim/Step_4.wav,stim/Step_5.wav,-1,1,0.7844
,,,,,,,,,,,,5dc86f46292aaa5da9d04d55,001,2022-03-09_15h12.05.501,vct_new,2021.2.3,Win32,59.85873339,0,0,0,20,20,5,1,stim/Step_1.wav,stim/Step_6.wav,-5,1,0.6899
,,,,,,,,,,,,5dc86f46292aaa5da9d04d55,001,2022-03-09_15h12.05.501,vct_new,2021.2.3,Win32,59.85873339,1,0,0,21,21,48,1,stim/Step_7.wav,stim/Step_7.wav,0,0,0.9172
,,,,,,,,,,,,5dc86f46292aaa5da9d04d55,001,2022-03-09_15h12.05.501,vct_new,2021.2.3,Win32,59.85873339,1,1,0,22,22,31,1,stim/Step_5.wav,stim/Step_4.wav,1,1,0.9846
,,,,,,,,,,,,5dc86f46292aaa5da9d04d55,001,2022-03-09_15h12.05.501,vct_new,2021.2.3,Win32,59.85873339,0,0,0,23,23,15,1,stim/Step_3.wav,stim/Step_2.wav,1,1,0.8411
,,,,,,,,,,,,5dc86f46292aaa5da9d04d55,001,2022-03-09_15h12.05.501,vct_new,2021.2.3,Win32,59.85873339,0,0,0,24,24,19,1,stim/Step_3.wav,stim/Step_6.wav,-3,1,0.8863
,,,,,,,,,,,,5dc86f46292aaa5da9d04d55,001,2022-03-09_15h12.05.501,vct_new,2021.2.3,Win32,59.85873339,0,0,0,25,25,42,1,stim/Step_7.wav,stim/Step_1.wav,6,1,0.6972
,,,,,,,,,,,,5dc86f46292aaa5da9d04d55,001,2022-03-09_15h12.05.501,vct_new,2021.2.3,Win32,59.85873339,0,0,0,26,26,1,1,stim/Step_1.wav,stim/Step_2.wav,-1,1,1.2734
,,,,,,,,,,,,5dc86f46292aaa5da9d04d55,001,2022-03-09_15h12.05.501,vct_new,2021.2.3,Win32,59.85873339,1,1,0,27,27,30,1,stim/Step_5.wav,stim/Step_3.wav,2,1,0.757
,,,,,,,,,,,,5dc86f46292aaa5da9d04d55,001,2022-03-09_15h12.05.501,vct_new,2021.2.3,Win32,59.85873339,0,0,0,28,28,2,1,stim/Step_1.wav,stim/Step_3.wav,-2,1,1.3714
,,,,,,,,,,,,5dc86f46292aaa5da9d04d55,001,2022-03-09_15h12.05.501,vct_new,2021.2.3,Win32,59.85873339,0,0,0,29,29,6,1,stim/Step_1.wav,stim/Step_7.wav,-6,1,0.9003
,,,,,,,,,,,,5dc86f46292aaa5da9d04d55,001,2022-03-09_15h12.05.501,vct_new,2021.2.3,Win32,59.85873339,0,0,0,30,30,35,1,stim/Step_6.wav,stim/Step_1.wav,5,1,0.9479
,,,,,,,,,,,,5dc86f46292aaa5da9d04d55,001,2022-03-09_15h12.05.501,vct_new,2021.2.3,Win32,59.85873339,0,0,0,31,31,4,1,stim/Step_1.wav,stim/Step_5.wav,-4,1,0.8261
,,,,,,,,,,,,5dc86f46292aaa5da9d04d55,001,2022-03-09_15h12.05.501,vct_new,2021.2.3,Win32,59.85873339,1,0,0,32,32,16,1,stim/Step_3.wav,stim/Step_3.wav,0,0,0.7509
,,,,,,,,,,,,5dc86f46292aaa5da9d04d55,001,2022-03-09_15h12.05.501,vct_new,2021.2.3,Win32,59.85873339,1,1,0,33,33,38,1,stim/Step_6.wav,stim/Step_4.wav,2,1,1.0177
,,,,,,,,,,,,5dc86f46292aaa5da9d04d55,001,2022-03-09_15h12.05.501,vct_new,2021.2.3,Win32,59.85873339,0,0,0,34,34,36,1,stim/Step_6.wav,stim/Step_2.wav,4,1,0.7509
,,,,,,,,,,,,5dc86f46292aaa5da9d04d55,001,2022-03-09_15h12.05.501,vct_new,2021.2.3,Win32,59.85873339,0,0,0,35,35,29,1,stim/Step_5.wav,stim/Step_2.wav,3,1,0.9514
,,,,,,,,,,,,5dc86f46292aaa5da9d04d55,001,2022-03-09_15h12.05.501,vct_new,2021.2.3,Win32,59.85873339,0,0,0,36,36,28,1,stim/Step_5.wav,stim/Step_1.wav,4,1,0.8185
,,,,,,,,,,,,5dc86f46292aaa5da9d04d55,001,2022-03-09_15h12.05.501,vct_new,2021.2.3,Win32,59.85873339,0,0,0,37,37,22,1,stim/Step_4.wav,stim/Step_2.wav,2,1,0.7096
,,,,,,,,,,,,5dc86f46292aaa5da9d04d55,001,2022-03-09_15h12.05.501,vct_new,2021.2.3,Win32,59.85873339,1,0,0,38,38,40,1,stim/Step_6.wav,stim/Step_6.wav,0,0,1.035
,,,,,,,,,,,,5dc86f46292aaa5da9d04d55,001,2022-03-09_15h12.05.501,vct_new,2021.2.3,Win32,59.85873339,0,0,0,39,39,3,1,stim/Step_1.wav,stim/Step_4.wav,-3,1,0.8576
,,,,,,,,,,,,5dc86f46292aaa5da9d04d55,001,2022-03-09_15h12.05.501,vct_new,2021.2.3,Win32,59.85873339,0,0,0,40,40,26,1,stim/Step_4.wav,stim/Step_6.wav,-2,1,0.8703
,,,,,,,,,,,,5dc86f46292aaa5da9d04d55,001,2022-03-09_15h12.05.501,vct_new,2021.2.3,Win32,59.85873339,0,0,0,41,41,14,1,stim/Step_3.wav,stim/Step_1.wav,2,1,0.9452
,,,,,,,,,,,,5dc86f46292aaa5da9d04d55,001,2022-03-09_15h12.05.501,vct_new,2021.2.3,Win32,59.85873339,0,0,0,42,42,12,1,stim/Step_2.wav,stim/Step_6.wav,-4,1,1.0672
,,,,,,,,,,,,5dc86f46292aaa5da9d04d55,001,2022-03-09_15h12.05.501,vct_new,2021.2.3,Win32,59.85873339,0,0,0,43,43,44,1,stim/Step_7.wav,stim/Step_3.wav,4,1,0.8597
,,,,,,,,,,,,5dc86f46292aaa5da9d04d55,001,2022-03-09_15h12.05.501,vct_new,2021.2.3,Win32,59.85873339,1,1,0,44,44,21,1,stim/Step_4.wav,stim/Step_1.wav,3,1,0.9593
,,,,,,,,,,,,5dc86f46292aaa5da9d04d55,001,2022-03-09_15h12.05.501,vct_new,2021.2.3,Win32,59.85873339,1,1,0,45,45,47,1,stim/Step_7.wav,stim/Step_6.wav,1,1,0.8228
,,,,,,,,,,,,5dc86f46292aaa5da9d04d55,001,2022-03-09_15h12.05.501,vct_new,2021.2.3,Win32,59.85873339,1,0,0,46,46,32,1,stim/Step_5.wav,stim/Step_5.wav,0,0,0.8109
,,,,,,,,,,,,5dc86f46292aaa5da9d04d55,001,2022-03-09_15h12.05.501,vct_new,2021.2.3,Win32,59.85873339,1,1,0,47,47,17,1,stim/Step_3.wav,stim/Step_4.wav,-1,1,0.9183
,,,,,,,,,,,,5dc86f46292aaa5da9d04d55,001,2022-03-09_15h12.05.501,vct_new,2021.2.3,Win32,59.85873339,0,0,0,48,48,34,1,stim/Step_5.wav,stim/Step_7.wav,-2,1,1.0515
,,,,,,,,,,,,5dc86f46292aaa5da9d04d55,001,2022-03-09_15h12.05.501,vct_new,2021.2.3,Win32,59.85873339,0,0,1,0,49,29,1,stim/Step_5.wav,stim/Step_2.wav,3,1,1.0203
,,,,,,,,,,,,5dc86f46292aaa5da9d04d55,001,2022-03-09_15h12.05.501,vct_new,2021.2.3,Win32,59.85873339,1,1,1,1,50,2,1,stim/Step_1.wav,stim/Step_3.wav,-2,1,1.0515
,,,,,,,,,,,,5dc86f46292aaa5da9d04d55,001,2022-03-09_15h12.05.501,vct_new,2021.2.3,Win32,59.85873339,1,1,1,2,51,1,1,stim/Step_1.wav,stim/Step_2.wav,-1,1,1.5679
,,,,,,,,,,,,5dc86f46292aaa5da9d04d55,001,2022-03-09_15h12.05.501,vct_new,2021.2.3,Win32,59.85873339,0,0,1,3,52,43,1,stim/Step_7.wav,stim/Step_2.wav,5,1,1.1303
,,,,,,,,,,,,5dc86f46292aaa5da9d04d55,001,2022-03-09_15h12.05.501,vct_new,2021.2.3,Win32,59.85873339,1,1,1,4,53,17,1,stim/Step_3.wav,stim/Step_4.wav,-1,1,1.17
,,,,,,,,,,,,5dc86f46292aaa5da9d04d55,001,2022-03-09_15h12.05.501,vct_new,2021.2.3,Win32,59.85873339,0,0,1,5,54,39,1,stim/Step_6.wav,stim/Step_5.wav,1,1,1.0879
,,,,,,,,,,,,5dc86f46292aaa5da9d04d55,001,2022-03-09_15h12.05.501,vct_new,2021.2.3,Win32,59.85873339,0,0,1,6,55,9,1,stim/Step_2.wav,stim/Step_3.wav,-1,1,1.2258
,,,,,,,,,,,,5dc86f46292aaa5da9d04d55,001,2022-03-09_15h12.05.501,vct_new,2021.2.3,Win32,59.85873339,1,1,1,7,56,25,1,stim/Step_4.wav,stim/Step_5.wav,-1,1,1.0389
,,,,,,,,,,,,5dc86f46292aaa5da9d04d55,001,2022-03-09_15h12.05.501,vct_new,2021.2.3,Win32,59.85873339,0,0,1,8,57,37,1,stim/Step_6.wav,stim/Step_3.wav,3,1,1.058
,,,,,,,,,,,,5dc86f46292aaa5da9d04d55,001,2022-03-09_15h12.05.501,vct_new,2021.2.3,Win32,59.85873339,0,0,1,9,58,12,1,stim/Step_2.wav,stim/Step_6.wav,-4,1,0.9022
,,,,,,,,,,,,5dc86f46292aaa5da9d04d55,001,2022-03-09_15h12.05.501,vct_new,2021.2.3,Win32,59.85873339,0,0,1,10,59,22,1,stim/Step_4.wav,stim/Step_2.wav,2,1,0.9345
